kind,sequence,rtt_us,ok
response,433,2302.923,1
response,434,2315.756,1
response,435,2291.331,1
response,436,3325.385,1
response,437,3748.254,1
response,438,3289.496,1
response,439,3324.126,1
response,440,3222.607,1
response,441,3355.366,1
response,442,1686.349,1
response,443,1767.832,1
response,444,1754.035,1
response,445,1746.813,1
response,446,1480.591,1
response,447,1755.313,1
response,448,2878.497,1
response,449,3144.533,1
response,450,2858.793,1
response,451,2860.904,1
response,452,2860.163,1
response,453,2849.830,1
response,454,2576.904,1
response,455,2859.200,1
response,456,2577.831,1
response,457,2548.516,1
response,458,2600.756,1
response,459,2574.071,1
response,460,2313.108,1
response,461,2585.441,1
response,462,2290.294,1
response,463,2296.497,1
response,464,2289.608,1
response,465,2307.442,1
response,466,2036.331,1
response,467,2303.868,1
response,468,2016.108,1
response,469,2010.720,1
response,470,2027.961,1
response,471,2027.090,1
response,472,1748.424,1
response,473,2015.812,1
response,474,1752.572,1
response,475,1727.850,1
response,476,1750.498,1
response,477,1747.221,1
response,478,2883.496,1
response,479,3136.830,1
response,480,2813.756,1
response,481,2876.089,1
response,482,2832.293,1
response,483,2831.830,1
response,484,2559.775,1
response,485,2822.830,1
response,486,2581.553,1
response,487,2584.775,1
response,488,2587.941,1
response,489,2568.775,1
response,490,2318.941,1
response,491,2597.719,1
response,492,2312.164,1
response,493,2309.534,1
response,494,2318.887,1
response,495,2322.535,1
response,496,2049.887,1
response,497,2330.071,1
response,498,2038.775,1
response,499,2019.442,1
response,500,2029.868,1
response,501,2036.183,1
response,502,1742.887,1
response,503,2012.572,1
response,504,1743.980,1
response,505,1766.202,1
response,506,1760.868,1
response,507,1771.257,1
response,508,3157.274,1
response,509,3135.681,1
response,510,2881.497,1
response,511,3136.497,1
response,512,2854.256,1
response,513,2853.330,1
response,514,2828.608,1
response,515,2804.237,1
response,516,2597.015,1
response,517,2579.664,1
response,518,2568.553,1
response,519,2585.590,1
response,520,2303.015,1
response,521,2587.719,1
response,522,2294.497,1
response,523,2328.201,1
response,524,2309.461,1
response,525,2323.497,1
response,526,2044.609,1
response,527,2312.145,1
response,528,2034.145,1
response,529,2043.979,1
response,530,2036.108,1
response,531,2040.109,1
response,532,1783.664,1
response,533,2065.016,1
response,534,1734.424,1
response,535,1760.332,1
response,536,1745.201,1
response,537,1783.609,1
response,538,1478.942,1
response,539,1734.887,1
response,540,2873.459,1
response,541,3175.237,1
response,542,2822.274,1
response,543,2833.867,1
response,544,2876.738,1
response,545,2876.663,1
response,546,2599.256,1
response,547,2851.275,1
response,548,2572.478,1
response,549,2587.146,1
response,550,2570.294,1
response,551,2575.830,1
response,552,2282.886,1
response,553,4226.421,1
response,554,3747.885,1
response,555,3722.903,1
response,556,3772.680,1
response,557,3765.292,1
response,558,3306.274,1
response,559,3755.995,1
response,560,1987.016,1
response,561,2023.886,1
response,562,1760.628,1
response,563,2018.090,1
response,564,1745.405,1
response,565,1790.423,1
response,566,1764.905,1
response,567,1759.072,1
response,568,1490.220,1
response,569,1746.368,1
response,570,2865.885,1
response,571,3130.293,1
response,572,2875.570,1
response,573,2896.515,1
response,574,2883.090,1
response,575,2878.682,1
response,576,2610.738,1
response,577,2891.496,1
response,578,2586.959,1
response,579,2599.978,1
response,580,2603.441,1
response,581,2574.164,1
response,582,2309.830,1
response,583,2585.016,1
response,584,2322.775,1
response,585,2295.682,1
response,586,2314.071,1
response,587,2303.108,1
response,588,2010.850,1
response,589,2329.534,1
response,590,2042.923,1
response,591,2041.571,1
response,592,2030.405,1
response,593,2027.386,1
response,594,1738.665,1
response,595,2039.534,1
response,596,1762.886,1
response,597,1741.906,1
response,598,1748.165,1
response,599,1775.239,1
