kind,sequence,rtt_us,ok
response,516,1892.118,1
response,517,3457.644,1
response,518,924.801,1
response,519,273.448,1
response,520,256.967,1
response,521,1463.606,1
response,522,3038.372,1
response,523,636.392,1
response,524,2184.604,1
response,525,182.953,1
response,526,1194.269,1
response,527,546.526,1
response,528,192.434,1
response,529,1770.108,1
response,530,3539.774,1
response,531,835.770,1
response,532,2353.745,1
response,533,3924.013,1
response,534,1351.539,1
response,535,191.693,1
response,536,185.268,1
response,537,1929.731,1
response,538,3512.573,1
response,539,1075.869,1
response,540,2550.921,1
response,541,239.099,1
response,542,1844.533,1
response,543,3421.543,1
response,544,671.483,1
response,545,2247.494,1
response,546,3811.208,1
response,547,1244.675,1
response,548,2831.760,1
response,549,186.324,1
response,550,1828.979,1
response,551,3414.656,1
response,552,971.912,1
response,553,2418.782,1
response,554,4009.144,1
response,555,1556.068,1
response,556,2994.735,1
response,557,581.433,1
response,558,2141.724,1
response,559,3586.464,1
response,560,1244.437,1
response,561,2920.295,1
response,562,493.568,1
response,563,235.562,1
response,564,3496.248,1
response,565,1049.447,1
response,566,367.555,1
response,567,4091.422,1
response,568,1646.231,1
response,569,2920.500,1
response,570,501.104,1
response,571,2254.775,1
response,572,3542.377,1
response,573,1223.587,1
response,574,2652.108,1
response,575,274.468,1
response,576,1798.317,1
response,577,3432.254,1
response,578,711.705,1
response,579,2246.240,1
response,580,3827.384,1
response,581,1402.338,1
response,582,2840.896,1
response,583,627.988,1
response,584,2168.985,1
response,585,3503.734,1
response,586,1037.856,1
response,587,2585.873,1
response,588,173.233,1
response,589,190.509,1
response,590,3361.835,1
response,591,609.008,1
response,592,2193.133,1
response,593,3770.001,1
response,594,1210.256,1
response,595,2789.438,1
response,596,361.760,1
