index,time_from_trigger_s,sample_signed_approx_24bit,trigger,frame_error_latched
415,-0.920841481,-6144,0,0
416,-0.919324444,-5120,0,0
417,-0.917807407,-4096,0,0
418,-0.916290370,-3072,0,0
419,-0.914773333,-4096,0,0
420,-0.913256296,-3072,0,0
421,-0.911739259,-3072,0,0
422,-0.910222222,-2048,0,0
423,-0.908705185,-2048,0,0
424,-0.907188148,-3072,0,0
425,-0.905671111,-4096,0,0
426,-0.904154074,-3072,0,0
427,-0.902637037,1024,0,0
428,-0.901120000,1024,0,0
429,-0.899602963,0,0,0
430,-0.898085926,3072,0,0
431,-0.896568889,3072,0,0
432,-0.895051852,3072,0,0
433,-0.893534815,4096,0,0
434,-0.892017778,3072,0,0
435,-0.890500741,2048,0,0
436,-0.888983704,1024,0,0
437,-0.887466667,2048,0,0
438,-0.885949630,1024,0,0
439,-0.884432593,2048,0,0
440,-0.882915556,3072,0,0
441,-0.881398519,1024,0,0
442,-0.879881481,1024,0,0
443,-0.878364444,3072,0,0
444,-0.876847407,1024,0,0
445,-0.875330370,1024,0,0
446,-0.873813333,1024,0,0
447,-0.872296296,3072,0,0
448,-0.870779259,-1024,0,0
449,-0.869262222,2048,0,0
450,-0.867745185,3072,0,0
451,-0.866228148,2048,0,0
452,-0.864711111,3072,0,0
453,-0.863194074,3072,0,0
454,-0.861677037,3072,0,0
455,-0.860160000,2048,0,0
456,-0.858642963,2048,0,0
457,-0.857125926,0,0,0
458,-0.855608889,1024,0,0
459,-0.854091852,0,0,0
460,-0.852574815,0,0,0
461,-0.851057778,0,0,0
462,-0.849540741,0,0,0
463,-0.848023704,0,0,0
464,-0.846506667,2048,0,0
465,-0.844989630,0,0,0
466,-0.843472593,2048,0,0
467,-0.841955556,2048,0,0
468,-0.840438519,-1024,0,0
469,-0.838921481,2048,0,0
470,-0.837404444,2048,0,0
471,-0.835887407,1024,0,0
472,-0.834370370,2048,0,0
473,-0.832853333,2048,0,0
474,-0.831336296,-1024,0,0
475,-0.829819259,0,0,0
476,-0.828302222,0,0,0
477,-0.826785185,1024,0,0
478,-0.825268148,2048,0,0
479,-0.823751111,1024,0,0
480,-0.822234074,2048,0,0
481,-0.820717037,-1024,0,0
482,-0.819200000,0,0,0
483,-0.817682963,-1024,0,0
484,-0.816165926,1024,0,0
485,-0.814648889,2048,0,0
486,-0.813131852,0,0,0
487,-0.811614815,-1024,0,0
488,-0.810097778,-2048,0,0
489,-0.808580741,-3072,0,0
490,-0.807063704,-3072,0,0
491,-0.805546667,-2048,0,0
492,-0.804029630,-1024,0,0
493,-0.802512593,1024,0,0
494,-0.800995556,1024,0,0
495,-0.799478519,0,0,0
496,-0.797961481,1024,0,0
497,-0.796444444,0,0,0
498,-0.794927407,-1024,0,0
499,-0.793410370,0,0,0
500,-0.791893333,0,0,0
501,-0.790376296,-2048,0,0
502,-0.788859259,-1024,0,0
503,-0.787342222,-2048,0,0
504,-0.785825185,1024,0,0
505,-0.784308148,2048,0,0
506,-0.782791111,1024,0,0
507,-0.781274074,-1024,0,0
508,-0.779757037,0,0,0
509,-0.778240000,2048,0,0
510,-0.776722963,0,0,0
511,-0.775205926,1024,0,0
512,-0.773688889,0,0,0
513,-0.772171852,2048,0,0
514,-0.770654815,3072,0,0
515,-0.769137778,5120,0,0
516,-0.767620741,3072,0,0
517,-0.766103704,4096,0,0
518,-0.764586667,1024,0,0
519,-0.763069630,2048,0,0
520,-0.761552593,2048,0,0
521,-0.760035556,4096,0,0
522,-0.758518519,4096,0,0
523,-0.757001481,1024,0,0
524,-0.755484444,4096,0,0
525,-0.753967407,1024,0,0
526,-0.752450370,3072,0,0
527,-0.750933333,2048,0,0
528,-0.749416296,1024,0,0
529,-0.747899259,1024,0,0
530,-0.746382222,1024,0,0
531,-0.744865185,2048,0,0
532,-0.743348148,2048,0,0
533,-0.741831111,-1024,0,0
534,-0.740314074,0,0,0
535,-0.738797037,0,0,0
536,-0.737280000,0,0,0
537,-0.735762963,1024,0,0
538,-0.734245926,1024,0,0
539,-0.732728889,1024,0,0
540,-0.731211852,-1024,0,0
541,-0.729694815,2048,0,0
542,-0.728177778,-1024,0,0
543,-0.726660741,1024,0,0
544,-0.725143704,1024,0,0
545,-0.723626667,2048,0,0
546,-0.722109630,2048,0,0
547,-0.720592593,2048,0,0
548,-0.719075556,2048,0,0
549,-0.717558519,3072,0,0
550,-0.716041481,3072,0,0
551,-0.714524444,3072,0,0
552,-0.713007407,3072,0,0
553,-0.711490370,3072,0,0
554,-0.709973333,2048,0,0
555,-0.708456296,-2048,0,0
556,-0.706939259,0,0,0
557,-0.705422222,1024,0,0
558,-0.703905185,2048,0,0
559,-0.702388148,1024,0,0
560,-0.700871111,2048,0,0
561,-0.699354074,1024,0,0
562,-0.697837037,0,0,0
563,-0.696320000,1024,0,0
564,-0.694802963,-1024,0,0
565,-0.693285926,1024,0,0
566,-0.691768889,0,0,0
567,-0.690251852,1024,0,0
568,-0.688734815,2048,0,0
569,-0.687217778,0,0,0
570,-0.685700741,1024,0,0
571,-0.684183704,3072,0,0
572,-0.682666667,3072,0,0
573,-0.681149630,5120,0,0
574,-0.679632593,3072,0,0
575,-0.678115556,4096,0,0
576,-0.676598519,5120,0,0
577,-0.675081481,3072,0,0
578,-0.673564444,3072,0,0
579,-0.672047407,1024,0,0
580,-0.670530370,2048,0,0
581,-0.669013333,1024,0,0
582,-0.667496296,3072,0,0
583,-0.665979259,2048,0,0
584,-0.664462222,0,0,0
585,-0.662945185,1024,0,0
586,-0.661428148,1024,0,0
587,-0.659911111,0,0,0
588,-0.658394074,2048,0,0
589,-0.656877037,1024,0,0
590,-0.655360000,3072,0,0
591,-0.653842963,2048,0,0
592,-0.652325926,2048,0,0
593,-0.650808889,3072,0,0
594,-0.649291852,0,0,0
595,-0.647774815,4096,0,0
596,-0.646257778,3072,0,0
597,-0.644740741,2048,0,0
598,-0.643223704,2048,0,0
599,-0.641706667,-1024,0,0
600,-0.640189630,3072,0,0
601,-0.638672593,2048,0,0
602,-0.637155556,2048,0,0
603,-0.635638519,4096,0,0
604,-0.634121481,4096,0,0
605,-0.632604444,4096,0,0
606,-0.631087407,2048,0,0
607,-0.629570370,2048,0,0
608,-0.628053333,4096,0,0
609,-0.626536296,2048,0,0
610,-0.625019259,1024,0,0
611,-0.623502222,0,0,0
612,-0.621985185,5120,0,0
613,-0.620468148,2048,0,0
614,-0.618951111,3072,0,0
615,-0.617434074,4096,0,0
616,-0.615917037,2048,0,0
617,-0.614400000,5120,0,0
618,-0.612882963,4096,0,0
619,-0.611365926,3072,0,0
620,-0.609848889,2048,0,0
621,-0.608331852,4096,0,0
622,-0.606814815,3072,0,0
623,-0.605297778,4096,0,0
624,-0.603780741,4096,0,0
625,-0.602263704,3072,0,0
626,-0.600746667,1024,0,0
627,-0.599229630,2048,0,0
628,-0.597712593,3072,0,0
629,-0.596195556,1024,0,0
630,-0.594678519,3072,0,0
631,-0.593161481,2048,0,0
632,-0.591644444,5120,0,0
633,-0.590127407,2048,0,0
634,-0.588610370,4096,0,0
635,-0.587093333,2048,0,0
636,-0.585576296,2048,0,0
637,-0.584059259,3072,0,0
638,-0.582542222,2048,0,0
639,-0.581025185,1024,0,0
640,-0.579508148,3072,0,0
641,-0.577991111,3072,0,0
642,-0.576474074,2048,0,0
643,-0.574957037,3072,0,0
644,-0.573440000,3072,0,0
645,-0.571922963,4096,0,0
646,-0.570405926,5120,0,0
647,-0.568888889,2048,0,0
648,-0.567371852,3072,0,0
649,-0.565854815,3072,0,0
650,-0.564337778,3072,0,0
651,-0.562820741,4096,0,0
652,-0.561303704,3072,0,0
653,-0.559786667,0,0,0
654,-0.558269630,2048,0,0
655,-0.556752593,-1024,0,0
